(214, 295)
(210, 291)
(203, 284)
(192, 272)
(176, 250)
(163, 234)
(143, 208)
(132, 195)
(120, 180)
(114, 172)
(111, 167)
(106, 159)
(104, 154)
(102, 147)
(101, 145)
(100, 143)
(100, 141)
(99, 141)
(98, 141)
(96, 137)
(91, 133)
(87, 125)
(84, 120)
(82, 115)
(81, 110)
(79, 107)
(76, 100)
(73, 96)
(71, 92)
(68, 86)
(65, 82)
(63, 77)
(59, 71)
(57, 66)
(55, 62)
(53, 56)
(51, 54)
(50, 52)
(50, 51)
(49, 50)
(48, 49)
(47, 48)
(46, 48)
(45, 48)
(44, 48)
(43, 47)
(42, 46)
(41, 46)
(40, 45)
(38, 42)
(37, 39)
(36, 38)
(35, 37)
(34, 36)
(34, 34)
(34, 33)
(35, 33)
(36, 33)
(35, 33)
(34, 33)
(34, 34)
(34, 33)
(34, 32)
(34, 31)
(34, 32)
(34, 33)
(34, 34)
(34, 35)
(34, 36)
(34, 37)
(34, 38)
(34, 39)
(34, 38)
(34, 37)
(33, 36)
(33, 35)
(33, 34)
(33, 33)
(33, 34)
(33, 35)
(33, 36)
(33, 37)
(33, 38)
(33, 39)
(33, 40)
(33, 39)
(33, 38)
(33, 37)
(33, 36)
(33, 35)
(33, 36)
(33, 37)
(33, 38)
(33, 37)
(33, 36)
(33, 37)
(33, 38)
(33, 39)
(33, 38)
(33, 37)
(33, 38)
(33, 39)
(33, 40)
(34, 40)
(35, 40)
(113, 18)
(172, 12)
(241, 18)
(289, 28)
(342, 37)
(432, 49)
(487, 49)
(533, 46)
(546, 44)
(570, 41)
(583, 38)
(596, 36)
(604, 32)
(611, 31)
(614, 30)
(619, 28)
(621, 28)
(622, 28)
(623, 28)
(624, 28)
(625, 28)
(625, 27)
(628, 26)
(642, 21)
(666, 10)
(672, 6)
(674, 5)
(674, 4)
(674, 3)
(679, 0)
(699, 0)
